,imdb_tconst,primary_title,imdb_orig_title,start_year,runtime_minutes,genres,imdb_avg_rating,imdb_numvotes,db_genre_ids,db_id_x,original_language,db_orig_title,db_popularity,release_date_x,db_vote_avg,db_vote_count,production_budget,domestic_gross,worldwide_gross
0,tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018,122.0,Drama,6.9,4517.0,"[35, 18]",299782,en,The Other Side of the Wind,9.8,2018-11-02,7.0,64, , , 
1,tt0112502,Bigfoot,Bigfoot,2017,91.0,"Horror,Thriller",4.1,32.0,"[27, 878, 12]",117856,en,Bigfoot,2.813,2012-06-30,2.9,26, , , 
4,tt0192528,Heaven & Hell,Reverse Heaven,2018,104.0,Drama,4.0,72.0,[18],567662,en,Heaven & Hell,0.6,2018-11-06,7.5,2, , , 
5,tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248.0,"[16, 28, 35, 10751]",116977,en,Foodfight!,4.705,2013-05-07,2.1,46,"$45,000,000",$0,"$73,706"
6,tt0255820,Return to Babylon,Return to Babylon,2013,75.0,"Biography,Comedy,Drama",5.9,123.0,"[35, 18]",323498,en,Return to Babylon,0.877,2013-08-11,7.0,1, , , 
7,tt0285252,Life's a Beach,Life's a Beach,2012,100.0,Comedy,3.9,219.0,[35],112074,en,Life's a Beach,1.206,2010-01-01,3.2,3, , , 
9,tt0293069,Dark Blood,Dark Blood,2012,86.0,Thriller,6.6,1053.0,[53],136884,en,Dark Blood,1.7209999999999999,2013-03-06,6.1,7, , , 
10,tt0297400,Snowblind,Snowblind,2015,91.0,"Crime,Drama",6.7,77.0,[37],49594,en,Snowblind,1.463,2010-11-11,4.3,7, , , 
12,tt0312305,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,2010,45.0,"Adventure,Animation,Sci-Fi",5.1,287.0,[10751],23738,en,Quantum Quest: A Cassini Space Odyssey,1.207,2012-12-02,0.5,1, , , 
13,tt0315642,Wazir,Wazir,2016,103.0,"Action,Crime,Drama",7.1,15378.0,"[53, 28, 80, 18, 9648]",275269,hi,वज़ीर,3.8810000000000002,2016-01-08,6.6,63, , , 
14,tt0323808,The Wicker Tree,The Wicker Tree,2011,96.0,"Drama,Horror",3.9,2328.0,"[9648, 27, 53]",79544,en,The Wicker Tree,2.9619999999999997,2012-01-27,4.4,25, , , 
15,tt0326592,The Overnight,The Overnight,2010,88.0, ,7.5,24.0,"[9648, 35]",308024,en,The Overnight,6.5760000000000005,2015-06-19,6.0,200,"$200,000","$1,109,808","$1,165,996"
17,tt0326965,In My Sleep,In My Sleep,2010,104.0,"Drama,Mystery,Thriller",5.5,1889.0,"[53, 9648]",40048,en,In My Sleep,1.795,2010-04-23,5.4,20, , , 
18,tt0331314,Bunyan and Babe,Bunyan and Babe,2017,84.0,"Adventure,Animation,Comedy",5.0,302.0,"[12, 16, 35, 10751, 14]",435995,en,Bunyan and Babe,2.051,2017-01-12,6.2,9, , , 
19,tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886.0,"[12, 18]",83770,en,On the Road,8.919,2012-12-21,5.6,518,"$25,000,000","$720,828","$9,313,302"
25,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300.0,"[12, 35, 18, 14]",116745,en,The Secret Life of Walter Mitty,10.743,2013-12-25,7.1,4859,"$91,000,000","$58,236,838","$187,861,183"
26,tt0360556,Fahrenheit 451,Fahrenheit 451,2018,100.0,"Drama,Sci-Fi,Thriller",4.9,14469.0,"[18, 878, 53]",401905,en,Fahrenheit 451,11.657,2018-06-18,5.4,362, , , 
27,tt0365545,Nappily Ever After,Nappily Ever After,2018,98.0,"Comedy,Drama,Romance",6.4,6287.0,"[35, 10749]",519035,en,Nappily Ever After,12.057,2018-09-21,7.3,549, , , 
28,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116.0,"[80, 18, 9648, 53]",169917,en,A Walk Among the Tombstones,19.373,2014-09-19,6.3,1685,"$28,000,000","$26,017,685","$62,108,587"
29,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338.0,"[28, 12, 878, 53]",135397,en,Jurassic World,20.709,2015-06-12,6.6,14056,"$215,000,000","$652,270,625","$1,648,854,864"
30,tt0372538,Spy,Spy,2011,110.0,"Action,Crime,Drama",6.6,78.0,"[28, 80, 18, 9648, 53]",323867,en,Spy,1.4,2011-08-09,7.0,1, , , 
34,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787.0,"[18, 35]",23514,en,The Rum Diary,12.011,2011-10-27,5.7,652,"$45,000,000","$13,109,815","$21,544,732"
35,tt0376479,American Pastoral,American Pastoral,2016,108.0,"Crime,Drama",6.1,12898.0,"[80, 18]",326285,en,American Pastoral,7.782,2016-10-21,6.0,339, , , 
37,tt0377981,Gnomeo & Juliet,Gnomeo & Juliet,2011,84.0,"Adventure,Animation,Comedy",6.0,49550.0,"[16, 10751]",45772,en,Gnomeo & Juliet,16.408,2011-02-11,5.8,1085, , , 
38,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570.0,[35],76489,en,The Three Stooges,9.357999999999999,2012-04-13,5.1,215,"$30,000,000","$44,338,224","$54,052,249"
40,tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",5.5,106.0,"[10749, 35, 18]",324352,en,Anderson's Cross,0.6,2010-05-20,5.0,1,"$300,000",$0,$0
41,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366.0,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,7.5,6407,"$260,000,000","$200,821,936","$586,477,240"
42,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792.0,"[28, 12, 878]",49529,en,John Carter,18.549,2012-03-09,6.1,3338,"$275,000,000","$73,058,679","$282,778,100"
43,tt0402887,Capture the Flag,Capture the Flag,2010,91.0,Drama,6.0,473.0,"[35, 16, 12, 10751]",300602,es,Atrapa la bandera,8.225,2015-12-04,5.9,123, , , 
45,tt0403935,Action Jackson,Action Jackson,2014,144.0,"Action,Thriller",3.3,2862.0,"[28, 12, 35, 80, 18]",10117,en,Action Jackson,6.744,1988-02-12,5.2,81,"$7,000,000","$20,257,000","$20,257,000"
46,tt0404978,Gambit,Gambit,2012,89.0,"Comedy,Crime",5.7,22148.0,"[35, 80]",97434,en,Gambit,8.353,2012-04-25,5.2,366, , , 
47,tt0409379,In Secret,In Secret,2013,107.0,"Crime,Drama,Thriller",6.2,7045.0,"[18, 53, 80]",172226,en,In Secret,8.275,2014-02-21,5.9,100, , , 
48,tt0409847,Cowboys & Aliens,Cowboys & Aliens,2011,119.0,"Action,Sci-Fi,Thriller",6.0,195889.0,"[28, 878, 53, 37]",49849,en,Cowboys & Aliens,16.293,2011-07-29,5.5,3110, , , 
49,tt0417610,Asleep in the Sun,Dormir al sol,2010,83.0,Fantasy,6.4,80.0,[14],81615,es,Dormir al Sol,0.6,2011-04-24,3.0,4, , , 
50,tt0419692,Disconnect,Disconnect,2010,112.0,"Drama,Mystery,Sci-Fi",4.5,190.0,"[53, 9648, 80, 878]",200094,en,Disconnect,0.706,2010-08-06,6.7,3, , , 
56,tt0420293,The Stanford Prison Experiment,The Stanford Prison Experiment,2015,122.0,"Biography,Drama,History",6.9,32591.0,"[53, 18]",308032,en,The Stanford Prison Experiment,8.238999999999999,2015-07-17,6.9,548, , , 
57,tt0423474,Venus & Vegas,Venus & Vegas,2010,95.0,"Action,Comedy,Crime",4.2,468.0,"[28, 35]",68716,en,Venus & Vegas,2.362,2010-11-01,3.7,14, , , 
58,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,5.9,91546.0,[35],38778,en,Dinner for Schmucks,6.632000000000001,2010-07-30,5.6,920,"$69,000,000","$73,026,337","$86,796,502"
59,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256.0,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,6.3,2703,"$110,000,000","$77,222,099","$177,241,171"
60,tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",5.9,53649.0,"[27, 53]",77883,en,The Possession,8.978,2012-08-31,5.9,918,"$14,000,000","$49,130,588","$82,925,064"
61,tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",7.1,283534.0,"[28, 878, 18]",39254,en,Real Steel,14.811,2011-10-06,6.8,4566,"$110,000,000","$85,463,309","$263,880,341"
62,tt0433397,Satin,Satin,2011,84.0,"Comedy,Drama,Music",4.7,214.0,"[35, 18, 10749]",50024,en,Satin,0.624,2011-03-01,5.0,1, , , 
63,tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",6.5,104999.0,"[18, 878]",227156,en,The Giver,8.687000000000001,2014-08-11,6.5,3075,"$25,000,000","$45,090,374","$66,540,205"
64,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218.0,"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,7.7,8340,"$200,000,000","$415,004,880","$1,068,879,522"
65,tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",7.4,228701.0,"[36, 18]",72976,en,Lincoln,12.693,2012-11-16,6.8,2261,"$65,000,000","$182,207,973","$273,346,281"
67,tt0443465,Before We Go,Before We Go,2014,95.0,"Comedy,Drama,Romance",6.8,45181.0,"[18, 10749, 35]",283350,en,Before We Go,8.232999999999999,2015-05-21,6.5,985,"$3,000,000","$37,151","$483,938"
69,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",7.5,339338.0,"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,7.3,3882, , , 
70,tt0448022,A Bird of the Air,A Bird of the Air,2011,108.0,"Drama,Romance",6.6,1061.0,"[18, 10749]",70736,en,A Bird of the Air,4.5680000000000005,2011-09-23,6.0,13, , , 
71,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"Action,Adventure,Animation",6.6,133355.0,"[28, 12, 16, 10751, 14, 35]",417859,en,Puss in Boots,9.078,2011-10-28,6.3,1422,"$130,000,000","$149,260,504","$554,987,477"
72,tt0451108,Mad World,Mad World,2010,98.0,Drama,6.3,313.0,[],185200,en,Mad World,1.374,2010-02-02,5.0,1, , , 
77,tt0451154,The Passing,The Passing,2011,92.0,Horror,3.4,174.0,[27],77551,en,The Passing,2.0380000000000003,2011-05-20,3.3,4, , , 
83,tt0451201,Clawed,Sludge,2017,95.0,Horror,5.8,363.0,[27],477342,en,Clawed,0.6,2017-09-19,1.0,1, , , 
84,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",7.5,487527.0,"[28, 14]",241224,en,Wonder Woman,2.841,2013-09-29,5.9,34,"$150,000,000","$412,563,408","$821,133,378"
90,tt0452183,Blunt Movie,Blunt Movie,2013,83.0,"Comedy,Romance",6.4,77.0,[35],439174,en,Blunt Movie,0.955,2013-04-20,4.5,2, , , 
91,tt0453562,42,42,2013,128.0,"Biography,Drama,Sport",7.5,77703.0,[18],109410,en,42,11.28,2013-04-12,7.0,1028,"$31,000,000","$95,020,213","$97,470,701"
92,tt0454876,Life of Pi,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836.0,"[12, 18, 28]",87827,en,Life of Pi,15.0,2012-11-21,7.3,8723,"$120,000,000","$124,987,022","$620,912,003"
93,tt0455323,Being Flynn,Being Flynn,2012,102.0,Drama,6.4,15780.0,[18],78571,en,Being Flynn,7.292999999999999,2012-03-02,6.2,128, , , 
94,tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",6.5,104465.0,"[9648, 27, 28]",29427,en,The Crazies,12.245999999999999,2010-02-26,6.2,1036,"$19,000,000","$39,123,589","$56,445,534"
95,tt0455944,The Equalizer,The Equalizer,2014,132.0,"Action,Crime,Thriller",7.2,302302.0,"[53, 28, 80]",156022,en,The Equalizer,28.941999999999997,2014-09-26,7.2,4989,"$55,000,000","$101,530,738","$192,903,624"
96,tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137.0,"[28, 12, 878]",1771,en,Captain America: The First Avenger,25.808000000000003,2011-07-22,6.9,12810,"$140,000,000","$176,654,505","$370,569,776"
97,tt0458413,A Long Way Down,A Long Way Down,2014,96.0,"Comedy,Drama",6.4,29260.0,"[35, 18]",141043,en,A Long Way Down,6.7620000000000005,2014-06-05,6.2,529, , , 
98,tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",6.5,140666.0,"[80, 53]",189,en,Sin City: A Dame to Kill For,20.896,2014-08-22,6.3,2210,"$65,000,000","$13,757,804","$40,650,842"
99,tt0459748,Generation P,Generation P,2011,112.0,"Comedy,Drama,Sci-Fi",6.8,3358.0,"[35, 18, 878]",63375,ru,Generation П,3.6189999999999998,2011-11-11,5.8,30, , , 
100,tt0460778,Drunkboat,Drunkboat,2010,98.0,Drama,4.9,555.0,[18],76820,en,Drunkboat,1.568,2010-10-08,5.6,9, , , 
101,tt0460890,The Only Living Boy in New York,The Only Living Boy in New York,2017,89.0,Drama,6.3,8727.0,[18],95608,en,The Only Living Boy in New York,8.328,2017-08-11,6.2,116, , , 
102,tt0462036,Steve Phoenix: The Untold Story,Steve Phoenix: The Untold Story,2012,110.0,Drama,5.5,18.0,[18],304037,en,Steve Phoenix: The Untold Story,0.6,2012-01-01,3.0,2, , , 
103,tt0462335,High-Rise,High-Rise,2015,119.0,"Drama,Horror,Sci-Fi",5.6,33746.0,[18],254302,en,High-Rise,8.474,2016-04-28,5.5,610, , , 
105,tt0464054,House at the End of the Drive,House at the End of the Drive,2014,91.0,"Horror,Thriller",6.5,331.0,"[53, 27]",280381,en,House at the End of the Drive,1.4,2014-01-11,8.0,1,"$1,400,000",$0,$0
106,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",5.4,81327.0,"[35, 27]",43593,en,Piranha 3D,11.302,2010-08-20,5.3,1029,"$24,000,000","$25,003,155","$83,660,160"
107,tt0464891,Act Your Age,Act Your Age,2011,101.0,"Comedy,Drama",6.5,85.0,"[35, 18]",273001,en,Act Your Age,0.6,2011-04-01,5.5,2, , , 
108,tt0466893,Margaret,Margaret,2011,150.0,Drama,6.5,14708.0,[18],44754,en,Margaret,8.747,2011-09-30,6.3,138,"$14,000,000","$47,185","$623,292"
109,tt0470752,Ex Machina,Ex Machina,2014,108.0,"Drama,Mystery,Sci-Fi",7.7,424542.0,"[18, 878]",264660,en,Ex Machina,18.485,2015-04-10,7.6,8026,"$13,000,000","$25,440,971","$38,358,392"
110,tt0471042,Tower Heist,Tower Heist,2011,104.0,"Action,Comedy,Crime",6.2,125102.0,"[28, 35]",59108,en,Tower Heist,12.213,2011-11-04,6.0,1592,"$85,000,000","$78,046,570","$150,422,946"
111,tt0472181,The Smurfs,The Smurfs,2011,103.0,"Adventure,Animation,Comedy",5.5,77577.0,"[16, 10751, 12, 35, 14]",41513,en,The Smurfs,16.533,2011-07-29,5.6,2112,"$110,000,000","$142,614,158","$563,749,323"
112,tt0472399,The Mechanic,The Mechanic,2011,93.0,"Action,Crime,Thriller",6.6,141254.0,"[28, 53, 80]",27582,en,The Mechanic,14.387,2011-01-28,6.3,1676,"$42,500,000","$29,121,498","$76,347,393"
113,tt0473075,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",6.6,254975.0,"[12, 14, 28, 10749]",9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,6.2,4040, , , 
114,tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,106.0,"Comedy,Drama,Music",6.3,111422.0,"[35, 18, 9648]",270487,en,"Hail, Caesar!",12.312000000000001,2016-02-05,5.9,2328,"$22,000,000","$30,080,225","$64,160,680"
115,tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",6.8,173019.0,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,"$95,000,000","$81,562,942","$165,720,921"
129,tt0477302,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,2011,129.0,"Adventure,Drama,Mystery",6.9,93164.0,[18],64685,en,Extremely Loud & Incredibly Close,9.828,2011-12-24,7.0,1231, , , 
130,tt0478304,The Tree of Life,The Tree of Life,2011,139.0,"Drama,Fantasy",6.8,156266.0,"[18, 14]",8967,en,The Tree of Life,11.569,2011-05-27,6.6,1730,"$35,000,000","$13,305,665","$61,721,826"
132,tt0478970,Ant-Man,Ant-Man,2015,117.0,"Action,Adventure,Comedy",7.3,501213.0,"[878, 28, 12]",102899,en,Ant-Man,32.715,2015-07-17,7.1,11949,"$130,000,000","$180,202,163","$518,858,449"
133,tt0479204,Perfect Life,Perfect Life,2010,98.0,"Horror,Thriller",4.3,399.0,"[27, 53]",36604,en,Perfect Life,1.841,2010-04-27,4.3,5, , , 
135,tt0479997,Season of the Witch,Season of the Witch,2011,95.0,"Action,Adventure,Fantasy",5.4,85777.0,"[12, 14, 28]",23047,en,Season of the Witch,12.535,2011-01-07,5.3,1352,"$40,000,000","$24,827,228","$91,126,600"
136,tt0480239,Atlas Shrugged: Part I,Atlas Shrugged: Part I,2011,97.0,"Drama,Mystery,Sci-Fi",5.7,12524.0,"[18, 53, 878, 9648]",56780,en,Atlas Shrugged: Part I,6.315,2011-04-15,5.2,89, , , 
137,tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",6.4,83876.0,"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,2010-04-23,6.2,844,"$25,000,000","$23,591,432","$29,863,840"
139,tt0480687,Hall Pass,Hall Pass,2011,105.0,"Comedy,Romance",5.9,113775.0,"[35, 10749]",48988,en,Hall Pass,9.984,2011-02-25,5.5,1009,"$68,000,000","$45,060,734","$87,173,475"
140,tt0481499,The Croods,The Croods,2013,98.0,"Action,Adventure,Animation",7.2,176699.0,"[28, 12, 16, 35, 10751, 14]",49519,en,The Croods,16.29,2013-03-22,6.8,3873,"$135,000,000","$187,168,425","$573,068,425"
141,tt0482461,Barry Munday,Barry Munday,2010,95.0,"Comedy,Drama,Romance",5.9,3846.0,"[35, 18, 10749]",44594,en,Barry Munday,5.141,2010-03-13,6.0,37,"$3,000,000",$0,$0
142,tt0483586,Chasing 3000,Chasing 3000,2010,115.0,"Family,Sport",6.5,759.0,[18],51597,en,Chasing 3000,1.4,2010-07-16,5.0,6, , , 
143,tt0485985,Red Tails,Red Tails,2012,125.0,"Action,Adventure,Drama",5.9,31815.0,"[18, 28, 12, 36, 10752]",72431,en,Red Tails,10.247,2012-01-11,6.0,256,"$58,000,000","$49,876,377","$50,365,498"
144,tt0490075,Aftermath,Aftermath,2013,84.0,"Crime,Thriller",5.1,271.0,"[53, 18]",188839,en,Aftermath,2.262,2012-08-24,4.6,27, , , 
184,tt0490215,Silence,Silence,2016,161.0,"Adventure,Drama,History",7.2,85242.0,"[18, 36]",68730,en,Silence,10.617,2016-12-23,7.1,1560,"$46,500,000","$7,100,177","$23,726,626"
204,tt0490236,The Invited,The Invited,2010,95.0,"Horror,Thriller",4.2,240.0,[27],327674,en,The Invited,1.945,2010-01-01,3.1,6, , , 
206,tt0491152,Something Borrowed,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",5.9,54314.0,"[35, 18, 10749]",49022,en,Something Borrowed,7.567,2011-05-05,6.1,591,"$35,000,000","$39,046,489","$65,084,116"
207,tt0491175,Suburbicon,Suburbicon,2017,105.0,"Comedy,Crime,Drama",5.6,31294.0,"[53, 80, 18, 9648]",395458,en,Suburbicon,9.988999999999999,2017-10-27,5.8,879, , , 
209,tt0491203,Tulip Fever,Tulip Fever,2017,105.0,"Drama,History,Romance",6.2,15037.0,"[18, 10749]",257785,en,Tulip Fever,9.89,2017-08-25,6.4,307,"$25,000,000","$2,455,635","$6,792,768"
210,tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",3.8,14700.0,"[35, 10751]",35169,en,Furry Vengeance,9.45,2010-04-02,4.6,283,"$35,000,000","$17,630,465","$39,340,177"
211,tt0493076,Nina,Nina,2016,90.0,"Biography,Drama,Music",5.3,2246.0,"[18, 10402]",360389,en,Nina,2.641,2016-04-22,5.4,48, , , 
218,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",6.6,16086.0,"[35, 10751]",38843,en,Ramona and Beezus,7.442,2010-07-23,6.3,460,"$15,000,000","$26,167,002","$27,469,621"
219,tt0495024,Bad Blood,Bad Blood,2012,107.0,"Horror,Mystery,Romance",5.6,78.0,[18],316447,en,Bad Blood,1.126,2015-03-28,4.7,16, , , 
224,tt0496375,Prisoners of the Sun,Prisoners of the Sun,2013,85.0,"Action,Adventure,Horror",3.7,1106.0,"[9648, 28, 12, 27]",241958,en,Prisoners of the Sun,2.7889999999999997,2014-07-08,3.6,29, , , 
225,tt0498351,The Hero of Color City,The Hero of Color City,2014,77.0,"Animation,Family",4.0,431.0,[16],217057,en,The Hero of Color City,4.516,2014-10-03,5.4,9, , , 
226,tt0498381,Rings,Rings,2017,102.0,"Drama,Horror,Mystery",4.5,34151.0,[27],14564,en,Rings,13.53,2017-02-03,4.9,1785,"$25,000,000","$27,793,018","$82,917,283"
227,tt0756727,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116.0,"Biography,Documentary,Music",7.7,1332.0,"[99, 10402]",53079,en,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2.544,2010-10-26,7.6,14, , , 
228,tt0758752,Love & Other Drugs,Love & Other Drugs,2010,112.0,"Comedy,Drama,Romance",6.7,167680.0,"[18, 35, 10749]",43347,en,Love & Other Drugs,10.09,2010-11-24,6.9,2509, , , 
229,tt0762138,Syrup,Syrup,2013,90.0,"Comedy,Drama,Romance",5.7,10228.0,"[18, 35]",72525,en,Syrup,7.586,2013-06-07,5.8,110, , , 
230,tt0763831,A Thousand Words,A Thousand Words,2012,91.0,"Comedy,Drama",5.9,36387.0,"[18, 35]",72358,en,A Thousand Words,8.017000000000001,2012-03-08,6.1,685,"$40,000,000","$18,450,127","$20,790,486"
231,tt0765446,Escape from Planet Earth,Escape from Planet Earth,2013,89.0,"Adventure,Animation,Comedy",5.9,23298.0,"[16, 35, 12, 10751, 878]",68179,en,Escape from Planet Earth,9.227,2013-02-14,5.8,459, , , 
232,tt0768222,Night of the Templar,Night of the Templar,2013,101.0,"Horror,Mystery",5.9,5392.0,"[28, 35, 18]",107334,en,Night of the Templar,1.6119999999999999,2012-01-01,4.4,19, , , 
233,tt0770703,What's Your Number?,What's Your Number?,2011,106.0,"Comedy,Romance",6.1,67922.0,"[35, 10749]",63492,en,What's Your Number?,10.390999999999998,2011-09-30,6.4,1271,"$20,000,000","$14,011,084","$30,163,785"
234,tt0770778,King of the Avenue,King of the Avenue,2010,83.0,"Drama,Fantasy,Thriller",4.0,449.0,"[28, 12, 53]",47853,en,King of the Avenue,2.8569999999999998,2010-09-17,4.5,9, , , 
235,tt0770802,Samsara,Samsara,2011,102.0,"Documentary,Music",8.5,29725.0,"[18, 99]",89708,en,Samsara,6.015,2012-08-22,8.2,276,"$4,000,000","$2,672,413","$5,966,671"
236,tt0770828,Man of Steel,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",7.1,647288.0,"[28, 12, 14, 878]",49521,en,Man of Steel,27.666999999999998,2013-06-14,6.5,9758,"$225,000,000","$291,045,518","$667,999,518"
237,tt0775440,Cell,Cell,2016,98.0,"Action,Drama,Horror",4.3,21968.0,"[27, 878, 53]",168098,en,Cell,6.14,2016-07-08,4.5,597, , , 
238,tt0775489,The Illusionist,L'illusionniste,2010,80.0,"Animation,Drama",7.5,31734.0,"[16, 18]",41201,fr,L'illusionniste,8.404,2010-12-25,7.4,280,"$16,500,000","$39,868,642","$83,792,062"
241,tt0775543,Night Catches Us,Night Catches Us,2010,90.0,"Drama,Romance",6.3,1390.0,"[18, 10749]",48833,en,Night Catches Us,2.251,2010-12-03,4.4,7, , , 
242,tt0780504,Drive,Drive,2011,100.0,"Crime,Drama",7.8,521495.0,"[18, 28, 53, 80]",64690,en,Drive,15.875,2011-09-16,7.5,6737,"$15,000,000","$35,060,689","$81,357,930"
246,tt0780548,Kid Cannabis,Kid Cannabis,2014,110.0,"Biography,Comedy,Crime",6.4,8924.0,[18],212231,en,Kid Cannabis,5.815,2014-04-18,6.2,87, , , 
247,tt0780625,Santorini Blue,Santorini Blue,2013,90.0,"Comedy,Drama",4.6,124.0,[],217405,en,Santorini Blue,0.6,2013-05-01,2.0,1, , , 
248,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",5.8,97873.0,[27],7978,en,The Wolfman,14.03,2010-02-12,5.7,1009,"$150,000,000","$62,189,884","$142,634,358"
249,tt0787442,The Attack,The Attack,2012,102.0,"Drama,Mystery,War",7.1,3733.0,[18],121791,en,The Attack,1.847,2012-09-01,6.5,33, , , 
250,tt0787474,The Boxtrolls,The Boxtrolls,2014,96.0,"Adventure,Animation,Comedy",6.8,50763.0,"[16, 35, 10751, 14]",170687,en,The Boxtrolls,11.219000000000001,2014-09-26,6.7,1016,"$60,000,000","$50,837,305","$111,946,251"
251,tt0787524,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,108.0,"Biography,Drama",7.2,43575.0,[18],353326,en,The Man Who Knew Infinity,8.76,2016-04-29,7.2,699,"$10,000,000","$3,877,922","$12,382,122"
252,tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",5.9,67549.0,[35],124459,en,The Incredible Burt Wonderstone,9.362,2013-03-15,5.4,920,"$32,000,000","$22,537,881","$27,392,609"
253,tt0790636,Dallas Buyers Club,Dallas Buyers Club,2013,117.0,"Biography,Drama",8.0,402462.0,"[18, 36]",152532,en,Dallas Buyers Club,12.389000000000001,2013-11-22,7.9,4961,"$5,000,000","$27,298,285","$60,611,845"
255,tt0790653,Elliot Loves,Elliot Loves,2012,92.0,"Comedy,Romance",6.2,463.0,[35],140814,en,Elliot Loves,1.421,2012-05-04,7.0,4, , , 
256,tt0790663,The First Grader,The First Grader,2010,103.0,"Biography,Drama,Romance",7.5,4052.0,"[10749, 18]",47559,en,The First Grader,3.3310000000000004,2010-09-04,7.0,51, , , 
257,tt0790724,Jack Reacher,Jack Reacher,2012,130.0,"Action,Crime,Thriller",7.0,284547.0,"[80, 18, 53, 28]",75780,en,Jack Reacher,18.312,2012-12-21,6.4,4155,"$60,000,000","$80,070,736","$217,370,736"
258,tt0790736,R.I.P.D.,R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",5.6,109078.0,"[14, 28, 35, 80]",49524,en,R.I.P.D.,21.377,2013-07-19,5.6,2047,"$130,000,000","$33,618,855","$79,076,678"
259,tt0790770,Miles Ahead,Miles Ahead,2015,100.0,"Biography,Drama,Music",6.4,8498.0,"[18, 10402]",316000,en,Miles Ahead,5.766,2015-10-10,6.7,123, , , 
261,tt0790788,The Yellow Wallpaper,The Yellow Wallpaper,2012,115.0,Thriller,6.6,1695.0,"[27, 53]",102693,en,The Yellow Wallpaper,0.6,2011-11-10,4.5,4, , , 
