,imdb_tconst,primary_title,imdb_orig_title,start_year,runtime_minutes,genres,imdb_avg_rating,imdb_numvotes,db_genre_ids,db_id_x,original_language,db_orig_title,db_popularity,release_date_x,db_vote_avg,db_vote_count,production_budget,domestic_gross,worldwide_gross
9811,tt1943710,Fortune Cookie Prophecies,Fortune Cookie Prophecies,2011,113.0,"Drama,Horror,Mystery",4.1,79.0,"[18, 27, 9648]",251183,en,Fortune Cookie Prophecies,0.6,2011-02-01,6.0,3, , , 
9812,tt1943765,Morgan,Morgan,2012,89.0,"Drama,Romance",6.8,1232.0,[18],151693,en,Morgan,1.111,2012-01-07,6.7,12,"$8,000,000","$3,915,251","$7,298,786"
9816,tt1943863,Uncle Bob,Uncle Bob,2010,78.0,Documentary,6.9,39.0,[99],270025,en,Uncle Bob,0.624,2010-06-26,8.0,1, , , 
9817,tt1943873,You've Been Trumped,You've Been Trumped,2011,79.0,Documentary,7.5,2069.0,[99],118769,en,You've Been Trumped,2.13,2012-08-03,6.6,20, , , 
9818,tt1945037,Begin Again,Begin Again,2013,68.0,"Drama,Family",7.0,57.0,"[35, 10402, 10749, 18]",198277,en,Begin Again,10.828,2014-07-11,7.2,2089,"$8,000,000","$16,170,632","$68,838,736"
9820,tt1945044,Exeter,Exeter,2015,91.0,"Horror,Mystery,Thriller",4.5,5156.0,"[53, 27]",226458,en,Exeter,5.934,2015-03-26,4.7,121,"$25,000",$0,"$489,792"
9823,tt1945052,Broken Roads,Broken Roads,2012,151.0,Drama,4.7,150.0,[18],154851,en,Broken Roads,0.6,2012-11-08,5.3,2, , , 
9824,tt1945062,About Cherry,About Cherry,2012,98.0,Drama,4.8,9197.0,[18],94901,en,About Cherry,9.935,2012-09-21,4.4,139, , , 
9825,tt1945084,Everly,Everly,2014,92.0,"Action,Thriller",5.1,15874.0,"[53, 28]",277355,en,Everly,8.512,2015-01-23,5.2,321, , , 
9827,tt1945087,In Our Nature,In Our Nature,2012,103.0,Drama,5.7,693.0,[18],96246,en,In Our Nature,2.918,2012-12-07,5.5,11, , , 
9828,tt1945218,Tora Bora,Tora Bora,2011,102.0,Drama,7.7,88.0,"[10752, 18]",331182,ar,Tora Bora,0.6,2011-01-01,8.0,1, , , 
9829,tt1946177,Coming & Going,Coming & Going,2011,92.0,"Comedy,Romance",5.4,628.0,"[35, 10749]",80147,en,Coming & Going,1.546,2011-07-15,6.3,9, , , 
9830,tt1946269,18 Years Old and Rising,J'aime regarder les filles,2011,92.0,"Comedy,Romance",6.3,388.0,[35],91052,fr,J'aime regarder les filles,4.391,2011-11-11,5.3,33, , , 
9831,tt1946275,Joseph Smith: Plates of Gold,Joseph Smith: Plates of Gold,2011,104.0,"Biography,Drama",7.2,68.0,[18],352359,en,Joseph Smith: Plates of Gold,0.754,2011-09-02,8.0,1, , , 
9832,tt1946298,The Lookout,Le guetteur,2012,89.0,"Action,Crime,Thriller",5.7,2328.0,"[28, 80, 9648]",122192,fr,Le Guetteur,3.8169999999999997,2012-09-09,5.6,51, , , 
9835,tt1946310,Crazy Kind of Love,Crazy Kind of Love,2013,100.0,"Comedy,Drama,Romance",5.9,1721.0,"[35, 18, 10749]",191566,en,Crazy Kind of Love,3.72,2013-05-31,6.1,19, , , 
9836,tt1946421,The Captains,The Captains,2011,97.0,"Biography,Documentary",6.9,2564.0,"[99, 878]",70703,en,The Captains,3.761,2011-07-22,6.3,59, , , 
9837,tt1947969,Battle B-Boy,Battle B-Boy,2016,89.0,"Action,Comedy,Sport",2.8,105.0,[],169556,en,Battle B-Boy,0.7040000000000001,2014-12-18,5.5,1, , , 
9838,tt1947998,Dear God No!,Dear God No!,2011,81.0,"Comedy,Horror",4.5,1524.0,"[27, 35]",89403,en,Dear God No!,2.211,2011-10-21,3.5,17, , , 
